# ID_V                   ID_I                      RA             DEC
  0310.424_0584.587V     0309.789_0584.350i   17:40:30.895   -53:38:32.77
  0310.720_0238.146V     0310.254_0237.971i   17:40:31.086   -53:41:24.82
  0311.354_0682.984V     0310.605_0682.902i   17:40:30.898   -53:37:43.89
  0311.723_0297.760V     0310.983_0297.640i   17:40:31.112   -53:40:55.21
  0311.742_0417.080V     0310.890_0417.053i   17:40:31.053   -53:39:55.95
  0311.786_0793.297V     0311.137_0793.192i   17:40:30.867   -53:36:49.10
  0311.967_0472.385V     0311.303_0472.196i   17:40:31.038   -53:39:28.48
  0312.815_0431.992V     0312.061_0431.913i   17:40:31.106   -53:39:48.54
  0312.990_0322.293V     0312.207_0322.232i   17:40:31.171   -53:40:43.02
  0313.523_0252.247V     0312.724_0252.042i   17:40:31.236   -53:41:17.81
  0313.639_0384.112V     0312.956_0384.009i   17:40:31.176   -53:40:12.32
  0313.671_0693.082V     0313.024_0692.995i   17:40:31.022   -53:37:38.87
  0313.807_0315.371V     0312.863_0315.245i   17:40:31.220   -53:40:46.46
  0314.273_0505.047V     0313.357_0504.703i   17:40:31.150   -53:39:12.25
  0314.646_0542.831V     0313.890_0542.733i   17:40:31.152   -53:38:53.48
  0314.719_0425.659V     0314.002_0425.513i   17:40:31.215   -53:39:51.68
  0314.819_0243.188V     0314.172_0243.142i   17:40:31.313   -53:41:22.30
  0314.953_0238.330V     0314.237_0238.148i   17:40:31.323   -53:41:24.71
  0315.862_0326.746V     0315.067_0326.765i   17:40:31.329   -53:40:40.80
  0315.923_1051.460V     0316.359_1050.300i   17:40:30.968   -53:34:40.87
  0316.014_0583.138V     0315.472_0582.897i   17:40:31.208   -53:38:33.46
  0316.071_0553.715V     0315.253_0553.571i   17:40:31.226   -53:38:48.07
  0316.094_0394.077V     0315.344_0393.935i   17:40:31.308   -53:40:07.36
  0316.303_0076.155V     0315.650_0076.077i   17:40:31.480   -53:42:45.25
  0316.551_0862.912V     0315.858_0862.993i   17:40:31.098   -53:36:14.51
  0316.986_0143.766V     0316.236_0143.636i   17:40:31.484   -53:42:11.67
  0317.074_0508.258V     0316.288_0508.176i   17:40:31.305   -53:39:10.64
  0317.327_0212.831V     0316.633_0212.687i   17:40:31.468   -53:41:37.37
  0318.429_0437.384V     0317.862_0437.260i   17:40:31.417   -53:39:45.84
  0318.691_0475.100V     0317.951_0475.009i   17:40:31.412   -53:39:27.10
  0318.788_0940.329V     0318.167_0940.170i   17:40:31.184   -53:35:36.05
  0318.981_0517.019V     0318.237_0516.879i   17:40:31.407   -53:39:06.28
  0319.028_0291.936V     0318.210_0291.792i   17:40:31.524   -53:40:58.07
  0319.125_0333.465V     0318.370_0333.315i   17:40:31.508   -53:40:37.45
  0319.173_0037.878V     0318.552_0037.886i   17:40:31.660   -53:43:04.25
  0319.384_0327.435V     0318.500_0327.330i   17:40:31.526   -53:40:40.44
  0320.212_0808.424V     0319.542_0808.360i   17:40:31.329   -53:36:41.55
  0320.392_0338.519V     0319.652_0338.407i   17:40:31.576   -53:40:34.93
  0320.548_0310.840V     0319.849_0311.192i   17:40:31.599   -53:40:48.68
  0321.413_0419.502V     0320.639_0419.409i   17:40:31.592   -53:39:54.70
  0321.468_0603.236V     0320.807_0603.155i   17:40:31.503   -53:38:23.45
  0321.646_0687.260V     0320.925_0687.148i   17:40:31.470   -53:37:41.72
  0321.767_0593.777V     0321.108_0593.616i   17:40:31.524   -53:38:28.15
  0321.767_0857.581V     0321.142_0857.491i   17:40:31.391   -53:36:17.13
  0322.048_0542.102V     0321.285_0542.182i   17:40:31.566   -53:38:53.81
  0322.211_0103.851V     0321.448_0103.776i   17:40:31.797   -53:42:31.47
  0322.221_0764.090V     0321.536_0764.035i   17:40:31.464   -53:37:03.56
  0322.410_0722.458V     0321.677_0722.414i   17:40:31.495   -53:37:24.24
  0322.430_0500.971V     0321.556_0501.138i   17:40:31.608   -53:39:14.24
  0322.542_0397.026V     0321.830_0396.881i   17:40:31.667   -53:40:05.86
  0322.711_0205.311V     0322.015_0205.067i   17:40:31.773   -53:41:41.08
  0323.123_0168.220V     0322.271_0167.978i   17:40:31.815   -53:41:59.50
  0323.362_0327.806V     0322.518_0327.649i   17:40:31.748   -53:40:40.24
  0324.020_0883.273V     0323.401_0883.092i   17:40:31.504   -53:36:04.36
  0324.190_0409.648V     0323.477_0409.640i   17:40:31.753   -53:39:59.59
  0324.560_0178.895V     0323.851_0178.765i   17:40:31.890   -53:41:54.19
  0324.846_0278.352V     0324.188_0278.105i   17:40:31.856   -53:41:04.79
  0324.965_0302.586V     0324.237_0302.232i   17:40:31.850   -53:40:52.75
  0324.974_0959.705V     0324.323_0959.627i   17:40:31.519   -53:35:26.40
  0325.013_0416.106V     0324.226_0416.123i   17:40:31.795   -53:39:56.38
  0325.150_0152.190V     0324.515_0152.003i   17:40:31.937   -53:42:07.45
  0325.228_1081.802V     0324.505_1081.577i   17:40:31.472   -53:34:25.76
  0325.401_1018.948V     0325.775_1017.836i   17:40:31.513   -53:34:56.97
  0325.666_0612.024V     0324.871_0611.899i   17:40:31.733   -53:38:19.07
  0325.693_0932.622V     0324.953_0932.591i   17:40:31.573   -53:35:39.85
  0325.782_0496.379V     0324.973_0496.287i   17:40:31.798   -53:39:16.50
  0325.853_0470.787V     0324.958_0470.606i   17:40:31.815   -53:39:29.21
  0325.860_0439.301V     0325.045_0439.307i   17:40:31.831   -53:39:44.85
  0326.488_0264.498V     0325.790_0264.372i   17:40:31.954   -53:41:11.66
  0326.608_0668.723V     0325.860_0668.600i   17:40:31.757   -53:37:50.91
  0326.902_0288.897V     0326.338_0288.668i   17:40:31.965   -53:40:59.54
  0327.031_0536.571V     0326.354_0536.390i   17:40:31.847   -53:38:56.54
  0327.368_0311.431V     0326.479_0311.982i   17:40:31.980   -53:40:48.35
  0327.720_0385.111V     0326.973_0385.037i   17:40:31.962   -53:40:11.76
  0327.743_0805.976V     0326.991_0805.945i   17:40:31.751   -53:36:42.74
  0327.921_0102.637V     0327.270_0102.486i   17:40:32.117   -53:42:32.05
  0328.449_0972.842V     0327.823_0972.700i   17:40:31.706   -53:35:19.86
  0328.465_0237.328V     0327.897_0236.992i   17:40:32.079   -53:41:25.15
  0328.557_0674.800V     0327.836_0674.660i   17:40:31.863   -53:37:47.88
  0328.727_0411.830V     0327.951_0411.740i   17:40:32.005   -53:39:58.48
  0328.919_0798.417V     0328.075_0798.397i   17:40:31.820   -53:36:46.48
  0328.982_0853.825V     0328.275_0853.748i   17:40:31.796   -53:36:18.97
  0329.029_0523.693V     0328.272_0523.602i   17:40:31.965   -53:39:02.92
  0329.326_0070.113V     0328.557_0069.865i   17:40:32.212   -53:42:48.19
  0329.450_0605.321V     0328.713_0605.296i   17:40:31.948   -53:38:22.38
  0329.519_0825.974V     0328.834_0826.076i   17:40:31.840   -53:36:32.80
  0329.939_0195.409V     0329.324_0195.289i   17:40:32.182   -53:41:45.96
  0329.940_0429.023V     0329.182_0428.991i   17:40:32.064   -53:39:49.94
  0330.202_0497.283V     0329.467_0497.162i   17:40:32.044   -53:39:16.04
  0330.475_0268.648V     0329.748_0268.639i   17:40:32.175   -53:41:09.59
  0330.862_0599.220V     0330.095_0599.068i   17:40:32.030   -53:38:25.41
  0330.998_0814.935V     0330.285_0814.844i   17:40:31.928   -53:36:38.27
  0331.089_0296.880V     0330.328_0296.825i   17:40:32.195   -53:40:55.56
  0331.408_0340.902V     0330.804_0340.892i   17:40:32.191   -53:40:33.70
  0331.475_1103.559V     0330.796_1103.429i   17:40:31.809   -53:34:14.93
  0331.496_0457.347V     0330.888_0457.291i   17:40:32.137   -53:39:35.86
  0331.567_0745.403V     0330.850_0745.384i   17:40:31.995   -53:37:12.80
  0331.771_0688.609V     0331.076_0688.488i   17:40:32.035   -53:37:41.01
  0331.982_0509.050V     0331.209_0508.972i   17:40:32.138   -53:39:10.18
  0332.180_0225.137V     0331.448_0225.143i   17:40:32.293   -53:41:31.19
  0332.664_0110.878V     0331.933_0110.591i   17:40:32.378   -53:42:27.93
  0332.949_0364.358V     0332.348_0364.182i   17:40:32.265   -53:40:22.04
  0333.138_0256.508V     0332.467_0256.347i   17:40:32.330   -53:41:15.60
  0333.211_0311.300V     0332.468_0311.224i   17:40:32.307   -53:40:48.39
  0333.531_0211.409V     0332.846_0211.289i   17:40:32.375   -53:41:38.00
  0333.745_0037.696V     0333.016_0037.467i   17:40:32.475   -53:43:04.27
  0333.975_0054.695V     0333.286_0054.566i   17:40:32.480   -53:42:55.83
  0334.086_0684.356V     0333.312_0684.262i   17:40:32.166   -53:37:43.11
  0334.226_0431.864V     0333.500_0431.787i   17:40:32.302   -53:39:48.51
  0334.238_0898.996V     0333.578_0898.868i   17:40:32.066   -53:35:56.51
  0334.325_0953.134V     0333.714_0952.941i   17:40:32.044   -53:35:29.62
  0334.336_0423.899V     0333.559_0423.840i   17:40:32.312   -53:39:52.46
  0334.382_0711.829V     0333.850_0711.723i   17:40:32.169   -53:37:29.46
  0334.644_0187.306V     0334.013_0187.021i   17:40:32.450   -53:41:49.96
  0334.935_0301.473V     0333.909_0300.140i   17:40:32.408   -53:40:53.26
  0335.227_0354.536V     0334.715_0353.881i   17:40:32.397   -53:40:26.91
  0335.338_0758.150V     0334.664_0758.129i   17:40:32.199   -53:37:06.45
  0335.437_0346.367V     0334.352_0346.230i   17:40:32.413   -53:40:30.96
  0335.524_0244.960V     0334.741_0244.960i   17:40:32.470   -53:41:21.33
  0336.010_0294.105V     0335.299_0294.317i   17:40:32.472   -53:40:56.92
  0336.285_0366.800V     0335.489_0366.742i   17:40:32.450   -53:40:20.81
  0336.375_0412.155V     0335.276_0412.088i   17:40:32.432   -53:39:58.29
  0337.121_0274.879V     0336.633_0275.138i   17:40:32.544   -53:41:06.46
  0337.509_0333.973V     0336.797_0333.973i   17:40:32.535   -53:40:37.11
  0337.762_0121.420V     0337.161_0121.214i   17:40:32.658   -53:42:22.67
  0337.785_0250.604V     0336.995_0250.171i   17:40:32.593   -53:41:18.51
  0337.809_0531.566V     0337.051_0531.462i   17:40:32.452   -53:38:58.97
  0338.184_0304.130V     0336.876_0303.785i   17:40:32.588   -53:40:51.93
  0338.293_1105.122V     0337.735_1104.872i   17:40:32.188   -53:34:14.12
  0338.393_0927.378V     0337.821_0927.298i   17:40:32.284   -53:35:42.39
  0338.616_0689.080V     0337.821_0688.943i   17:40:32.417   -53:37:40.74
  0338.881_0377.482V     0338.093_0377.480i   17:40:32.590   -53:40:15.50
  0338.988_0128.701V     0338.093_0128.661i   17:40:32.722   -53:42:19.05
  0339.206_0802.580V     0338.571_0802.505i   17:40:32.392   -53:36:44.37
  0339.224_0631.346V     0338.511_0631.284i   17:40:32.480   -53:38:09.41
  0339.264_0564.602V     0338.671_0564.657i   17:40:32.516   -53:38:42.56
  0339.394_0527.272V     0338.576_0527.144i   17:40:32.543   -53:39:01.10
  0339.424_0459.273V     0338.611_0459.177i   17:40:32.579   -53:39:34.87
  0339.813_0441.059V     0338.925_0440.974i   17:40:32.610   -53:39:43.92
  0340.018_0451.095V     0339.214_0450.991i   17:40:32.616   -53:39:38.93
  0340.455_0291.601V     0339.748_0291.235i   17:40:32.722   -53:40:58.14
  0340.862_0167.358V     0340.075_0167.226i   17:40:32.808   -53:41:59.84
  0340.907_0416.039V     0340.131_0415.881i   17:40:32.684   -53:39:56.34
  0340.947_0344.453V     0340.206_0344.335i   17:40:32.722   -53:40:31.89
  0341.159_0238.168V     0340.483_0238.063i   17:40:32.788   -53:41:24.68
  0341.198_0263.423V     0340.480_0263.330i   17:40:32.777   -53:41:12.13
  0341.337_0738.120V     0340.618_0738.025i   17:40:32.544   -53:37:16.37
  0341.353_0580.569V     0340.587_0580.431i   17:40:32.625   -53:38:34.62
  0341.681_0428.603V     0340.917_0428.507i   17:40:32.720   -53:39:50.09
  0341.713_0743.555V     0340.924_0743.426i   17:40:32.562   -53:37:13.67
  0341.909_0602.339V     0341.218_0602.248i   17:40:32.645   -53:38:23.81
  0342.053_0105.847V     0341.346_0105.818i   17:40:32.906   -53:42:30.39
  0342.241_0035.386V     0341.486_0035.197i   17:40:32.952   -53:43:05.38
  0342.565_0471.581V     0341.704_0471.647i   17:40:32.748   -53:39:28.74
  0342.869_0353.922V     0342.481_0354.174i   17:40:32.825   -53:40:27.18
  0343.429_0125.897V     0342.542_0125.635i   17:40:32.972   -53:42:20.42
  0343.456_0209.512V     0342.772_0209.399i   17:40:32.931   -53:41:38.90
  0343.468_0700.011V     0342.813_0700.010i   17:40:32.682   -53:37:35.29
  0343.481_0545.733V     0342.767_0545.730i   17:40:32.761   -53:38:51.91
  0343.620_0649.375V     0342.895_0649.317i   17:40:32.717   -53:38:00.44
  0343.856_0729.751V     0343.125_0729.616i   17:40:32.689   -53:37:20.52
  0344.224_0871.650V     0343.580_0871.523i   17:40:32.637   -53:36:10.04
  0344.247_0890.704V     0343.563_0890.650i   17:40:32.629   -53:36:00.58
  0344.568_0642.980V     0343.847_0642.929i   17:40:32.773   -53:38:03.61
  0344.794_0336.902V     0343.499_0337.561i   17:40:32.941   -53:40:35.62
  0344.996_0088.941V     0344.319_0090.157i   17:40:33.079   -53:42:38.77
  0345.025_1005.223V     0345.578_1003.961i   17:40:32.614   -53:35:03.70
  0345.036_0303.323V     0344.282_0303.174i   17:40:32.972   -53:40:52.30
  0345.365_0439.573V     0344.601_0439.473i   17:40:32.921   -53:39:44.63
  0345.567_0187.451V     0344.969_0187.356i   17:40:33.060   -53:41:49.84
  0345.580_0095.178V     0344.891_0095.069i   17:40:33.108   -53:42:35.67
  0345.603_0163.637V     0345.062_0163.579i   17:40:33.075   -53:42:01.67
  0345.771_0278.337V     0345.036_0278.148i   17:40:33.026   -53:41:04.70
  0346.255_0372.394V     0345.393_0372.300i   17:40:33.005   -53:40:17.99
  0347.410_0132.908V     0346.546_0132.638i   17:40:33.191   -53:42:16.92
  0347.411_0377.607V     0346.845_0377.406i   17:40:33.067   -53:40:15.39
  0347.550_0569.172V     0346.724_0569.110i   17:40:32.977   -53:38:40.25
  0347.652_0470.109V     0346.887_0470.059i   17:40:33.033   -53:39:29.45
  0347.702_0556.562V     0346.867_0556.184i   17:40:32.992   -53:38:46.52
  0347.729_0670.123V     0347.087_0670.052i   17:40:32.935   -53:37:50.12
  0348.571_0209.616V     0348.043_0209.557i   17:40:33.217   -53:41:38.82
  0348.658_0407.905V     0347.902_0407.842i   17:40:33.121   -53:40:00.34
  0348.789_0254.062V     0347.947_0253.858i   17:40:33.207   -53:41:16.75
  0348.806_0659.939V     0347.973_0659.859i   17:40:33.001   -53:37:55.17
  0349.052_0280.022V     0348.083_0279.846i   17:40:33.208   -53:41:03.85
  0349.126_0083.017V     0348.388_0082.993i   17:40:33.313   -53:42:41.69
  0349.164_0263.750V     0348.633_0263.609i   17:40:33.223   -53:41:11.93
  0349.656_0326.810V     0348.907_0326.684i   17:40:33.218   -53:40:40.61
  0349.732_0531.409V     0348.804_0531.400i   17:40:33.118   -53:38:59.00
  0349.818_0272.252V     0349.127_0272.104i   17:40:33.255   -53:41:07.71
  0350.170_0176.676V     0349.430_0176.437i   17:40:33.323   -53:41:55.17
  0350.371_1135.442V     0349.795_1135.247i   17:40:32.846   -53:33:59.01
  0350.421_0381.917V     0349.663_0381.645i   17:40:33.233   -53:40:13.24
  0350.529_0583.029V     0349.928_0582.891i   17:40:33.136   -53:38:33.36
  0350.548_0719.272V     0349.792_0719.104i   17:40:33.068   -53:37:25.69
  0351.814_0063.646V     0350.991_0063.589i   17:40:33.473   -53:42:51.30
  0351.825_0405.071V     0351.060_0404.941i   17:40:33.299   -53:40:01.73
  0351.861_0686.777V     0351.100_0686.713i   17:40:33.158   -53:37:41.83
  0352.015_0522.488V     0351.085_0522.494i   17:40:33.250   -53:39:03.42
  0352.172_0431.887V     0351.304_0431.925i   17:40:33.305   -53:39:48.42
  0352.465_0841.061V     0351.851_0841.043i   17:40:33.113   -53:36:25.20
  0352.527_0623.621V     0351.861_0623.752i   17:40:33.227   -53:38:13.19
  0352.839_0302.227V     0352.067_0302.069i   17:40:33.408   -53:40:52.81
  0353.306_0528.548V     0352.478_0528.570i   17:40:33.319   -53:39:00.40
  0353.333_0630.498V     0352.589_0630.441i   17:40:33.269   -53:38:09.77
  0353.411_0346.101V     0352.765_0346.003i   17:40:33.418   -53:40:31.01
  0353.465_0850.548V     0352.860_0850.562i   17:40:33.164   -53:36:20.48
  0353.473_0246.780V     0354.165_0245.817i   17:40:33.472   -53:41:20.34
  0353.844_0571.027V     0352.966_0570.964i   17:40:33.327   -53:38:39.30
  0353.873_0232.668V     0352.971_0232.298i   17:40:33.502   -53:41:27.35
  0354.028_0170.990V     0353.294_0170.833i   17:40:33.542   -53:41:57.98
  0354.090_0318.994V     0353.327_0318.890i   17:40:33.470   -53:40:44.47
  0354.508_0289.373V     0353.907_0289.292i   17:40:33.508   -53:40:59.18
  0354.530_0535.210V     0353.704_0535.156i   17:40:33.384   -53:38:57.09
  0354.782_0518.711V     0353.962_0518.826i   17:40:33.407   -53:39:05.28
  0354.963_0273.968V     0354.479_0273.376i   17:40:33.542   -53:41:06.83
  0355.270_0329.228V     0354.480_0329.126i   17:40:33.531   -53:40:39.39
  0355.396_0505.565V     0354.572_0505.535i   17:40:33.448   -53:39:11.81
  0355.544_0147.441V     0354.781_0147.352i   17:40:33.639   -53:42:09.67
  0355.790_0100.446V     0355.248_0099.854i   17:40:33.677   -53:42:33.01
  0355.816_0239.512V     0355.038_0238.935i   17:40:33.607   -53:41:23.94
  0356.153_0453.763V     0355.378_0453.679i   17:40:33.516   -53:39:37.53
  0356.601_1036.748V     0356.432_1036.574i   17:40:33.244   -53:34:47.99
  0356.696_0768.283V     0355.936_0768.214i   17:40:33.386   -53:37:01.32
  0356.807_0560.743V     0356.053_0560.609i   17:40:33.498   -53:38:44.40
  0357.003_0425.625V     0356.160_0425.585i   17:40:33.578   -53:39:51.50
  0357.096_0379.497V     0356.370_0379.414i   17:40:33.607   -53:40:14.41
  0357.390_0485.909V     0356.748_0485.873i   17:40:33.569   -53:39:21.56
  0357.876_0700.146V     0357.275_0700.142i   17:40:33.487   -53:37:35.16
  0357.879_0651.582V     0357.076_0651.516i   17:40:33.512   -53:37:59.28
  0357.902_0801.149V     0357.131_0801.039i   17:40:33.437   -53:36:45.00
  0358.029_0261.385V     0357.367_0261.137i   17:40:33.720   -53:41:13.07
  0358.419_0475.143V     0357.748_0475.091i   17:40:33.632   -53:39:26.90
  0358.549_0174.309V     0357.834_0174.119i   17:40:33.793   -53:41:56.31
  0358.558_0181.880V     0357.876_0181.631i   17:40:33.790   -53:41:52.55
  0358.838_0056.763V     0358.242_0056.700i   17:40:33.870   -53:42:54.69
  0358.922_0793.753V     0358.209_0793.699i   17:40:33.497   -53:36:48.67
  0359.189_0351.288V     0358.558_0351.272i   17:40:33.738   -53:40:28.41
  0359.278_0417.947V     0358.463_0417.763i   17:40:33.709   -53:39:55.31
  0359.470_0911.915V     0358.879_0911.811i   17:40:33.468   -53:35:49.98
  0359.493_0456.549V     0358.718_0456.548i   17:40:33.701   -53:39:36.13
  0359.859_0554.706V     0359.060_0554.670i   17:40:33.672   -53:38:47.38
  0359.900_0284.035V     0359.223_0283.948i   17:40:33.813   -53:41:01.81
  0360.391_0439.659V     0359.633_0439.613i   17:40:33.760   -53:39:44.52
  0360.722_0243.847V     0360.028_0243.711i   17:40:33.879   -53:41:21.77
  0360.908_0561.352V     0360.160_0561.297i   17:40:33.727   -53:38:44.08
  0360.981_0740.187V     0360.210_0740.191i   17:40:33.640   -53:37:15.26
  0361.183_0965.729V     0360.671_0964.664i   17:40:33.536   -53:35:23.24
  0361.197_0332.221V     0360.275_0332.209i   17:40:33.860   -53:40:37.87
  0361.312_0271.209V     0360.721_0270.994i   17:40:33.898   -53:41:08.17
  0361.327_0165.209V     0360.680_0164.976i   17:40:33.953   -53:42:00.82
  0361.667_0878.043V     0361.068_0877.883i   17:40:33.607   -53:36:06.79
  0361.713_0374.445V     0360.362_0374.439i   17:40:33.868   -53:40:16.90
  0362.505_0513.332V     0361.754_0513.273i   17:40:33.841   -53:39:07.92
  0362.812_0068.424V     0362.120_0068.345i   17:40:34.086   -53:42:48.88
  0362.933_0336.996V     0362.181_0336.810i   17:40:33.955   -53:40:35.49
  0362.939_0504.172V     0362.151_0504.084i   17:40:33.870   -53:39:12.47
  0362.943_0534.209V     0362.155_0534.035i   17:40:33.854   -53:38:57.55
  0363.114_0758.844V     0362.277_0758.650i   17:40:33.749   -53:37:05.98
  0363.387_0285.447V     0362.834_0285.168i   17:40:34.007   -53:41:01.09
  0363.389_0859.688V     0362.521_0859.488i   17:40:33.713   -53:36:15.90
  0363.755_0426.149V     0363.018_0426.152i   17:40:33.955   -53:39:51.21
  0363.779_0415.724V     0362.796_0415.625i   17:40:33.962   -53:39:56.39
  0364.045_0130.733V     0363.443_0130.726i   17:40:34.123   -53:42:17.93
  0364.333_0380.579V     0363.531_0380.545i   17:40:34.011   -53:40:13.84
  0364.384_0359.349V     0363.522_0359.443i   17:40:34.025   -53:40:24.39
  0364.556_0550.879V     0363.849_0550.656i   17:40:33.936   -53:38:49.26
  0364.827_0324.008V     0363.899_0324.047i   17:40:34.067   -53:40:41.94
  0364.880_0727.281V     0364.173_0727.137i   17:40:33.864   -53:37:21.65
  0364.935_0561.689V     0364.237_0561.587i   17:40:33.952   -53:38:43.89
  0364.945_0387.710V     0364.276_0387.489i   17:40:34.041   -53:40:10.30
  0365.075_0392.660V     0364.020_0392.736i   17:40:34.046   -53:40:07.84
  0365.111_0620.052V     0364.411_0619.959i   17:40:33.932   -53:38:14.90
  0365.180_0077.404V     0364.722_0077.064i   17:40:34.214   -53:42:44.41
  0365.218_0189.947V     0364.539_0189.773i   17:40:34.158   -53:41:48.51
  0365.566_0319.036V     0364.979_0318.775i   17:40:34.111   -53:40:44.40
  0365.836_0262.021V     0365.216_0261.919i   17:40:34.156   -53:41:12.72
  0365.899_0235.283V     0365.027_0235.237i   17:40:34.173   -53:41:26.00
  0366.123_0740.321V     0365.516_0740.266i   17:40:33.927   -53:37:15.17
  0366.126_0401.550V     0365.578_0401.444i   17:40:34.100   -53:40:03.42
  0366.190_0205.570V     0365.623_0205.540i   17:40:34.204   -53:41:40.75
  0366.324_0518.388V     0365.402_0518.334i   17:40:34.051   -53:39:05.39
  0366.513_0546.390V     0365.628_0546.376i   17:40:34.048   -53:38:51.48
  0366.753_0351.815V     0366.051_0351.424i   17:40:34.161   -53:40:28.12
  0366.836_0418.580V     0366.117_0417.835i   17:40:34.131   -53:39:54.96
  0366.892_0827.289V     0366.207_0827.247i   17:40:33.925   -53:36:31.97
  0367.077_0300.424V     0366.231_0300.271i   17:40:34.205   -53:40:53.64
  0367.082_0333.580V     0366.329_0333.546i   17:40:34.189   -53:40:37.17
  0367.146_0756.215V     0366.370_0756.127i   17:40:33.976   -53:37:07.27
  0367.240_0925.996V     0366.718_0925.939i   17:40:33.894   -53:35:42.95
  0367.410_0534.854V     0366.600_0534.815i   17:40:34.104   -53:38:57.21
  0367.545_0470.889V     0366.833_0470.891i   17:40:34.144   -53:39:28.98
  0367.573_0287.578V     0366.599_0287.476i   17:40:34.240   -53:41:00.02
  0367.664_0168.020V     0367.084_0167.840i   17:40:34.306   -53:41:59.39
  0367.693_0486.568V     0366.952_0486.477i   17:40:34.144   -53:39:21.19
  0368.018_0068.318V     0367.312_0068.154i   17:40:34.377   -53:42:48.91
  0368.580_0157.728V     0367.951_0157.949i   17:40:34.363   -53:42:04.50
  0368.647_0348.408V     0368.093_0348.328i   17:40:34.268   -53:40:29.80
  0368.725_0293.093V     0367.981_0292.922i   17:40:34.301   -53:40:57.27
  0368.806_0422.971V     0368.081_0422.809i   17:40:34.239   -53:39:52.77
  0369.015_0063.976V     0368.400_0063.902i   17:40:34.435   -53:42:51.06
  0369.269_0585.128V     0368.497_0585.045i   17:40:34.182   -53:38:32.23
  0369.475_0427.899V     0368.789_0427.746i   17:40:34.274   -53:39:50.32
  0369.540_0643.412V     0368.808_0643.327i   17:40:34.167   -53:38:03.28
  0369.941_0073.000V     0369.473_0072.884i   17:40:34.482   -53:42:46.57
  0370.021_0392.355V     0369.025_0392.477i   17:40:34.323   -53:40:07.97
  0370.069_0207.796V     0369.420_0207.661i   17:40:34.420   -53:41:39.63
  0370.110_0306.530V     0369.288_0306.324i   17:40:34.372   -53:40:50.59
  0370.184_0328.459V     0369.811_0327.896i   17:40:34.365   -53:40:39.70
  0370.199_0698.073V     0369.539_0697.936i   17:40:34.176   -53:37:36.13
  0370.383_0234.766V     0369.803_0234.620i   17:40:34.424   -53:41:26.23
  0370.737_0172.990V     0370.057_0172.829i   17:40:34.476   -53:41:56.91
  0370.858_0577.691V     0370.063_0578.177i   17:40:34.274   -53:38:35.92
  0371.036_0289.307V     0370.166_0289.082i   17:40:34.432   -53:40:59.14
  0371.061_0434.422V     0369.917_0434.182i   17:40:34.359   -53:39:47.07
  0371.322_0417.498V     0370.623_0417.317i   17:40:34.382   -53:39:55.47
  0371.499_0856.414V     0370.934_0856.267i   17:40:34.167   -53:36:17.49
  0371.858_0268.036V     0371.164_0267.846i   17:40:34.489   -53:41:09.70
  0372.536_0557.799V     0371.824_0557.309i   17:40:34.378   -53:38:45.79
  0372.568_0925.666V     0372.134_0925.506i   17:40:34.191   -53:35:43.09
  0372.730_0389.070V     0371.888_0388.796i   17:40:34.476   -53:40:09.59
  0372.976_0255.834V     0372.281_0255.858i   17:40:34.558   -53:41:15.76
  0373.497_0570.805V     0372.844_0570.727i   17:40:34.425   -53:38:39.32
  0373.569_0802.506V     0372.889_0802.463i   17:40:34.310   -53:36:44.25
  0373.633_0383.045V     0373.045_0382.905i   17:40:34.529   -53:40:12.57
  0373.652_0902.871V     0373.011_0902.785i   17:40:34.263   -53:35:54.41
  0373.898_0077.855V     0373.447_0077.777i   17:40:34.701   -53:42:44.15
  0374.015_0544.448V     0373.225_0544.474i   17:40:34.468   -53:38:52.41
  0374.100_0771.171V     0373.345_0771.095i   17:40:34.356   -53:36:59.81
  0374.121_0365.962V     0372.974_0365.690i   17:40:34.565   -53:40:21.06
  0374.288_0330.707V     0373.541_0330.646i   17:40:34.593   -53:40:38.57
  0374.290_0635.258V     0373.507_0635.100i   17:40:34.436   -53:38:07.31
  0374.359_0184.696V     0373.735_0184.519i   17:40:34.672   -53:41:51.08
  0374.540_0454.553V     0373.865_0455.071i   17:40:34.543   -53:39:37.06
  0375.066_0163.239V     0374.426_0163.130i   17:40:34.723   -53:42:01.73
  0375.075_0713.229V     0374.453_0713.177i   17:40:34.440   -53:37:28.58
  0375.129_0458.276V     0374.486_0458.477i   17:40:34.574   -53:39:35.20
  0375.605_0489.414V     0374.914_0489.132i   17:40:34.585   -53:39:19.74
  0375.815_0112.420V     0374.957_0112.332i   17:40:34.791   -53:42:26.97
  0375.854_0390.675V     0375.430_0390.754i   17:40:34.650   -53:40:08.78
  0376.164_0540.155V     0375.420_0540.157i   17:40:34.590   -53:38:54.53
  0376.221_0501.075V     0375.588_0501.009i   17:40:34.613   -53:39:13.94
  0376.489_0413.390V     0375.404_0413.609i   17:40:34.673   -53:39:57.49
  0376.588_0311.827V     0375.846_0311.602i   17:40:34.731   -53:40:47.93
  0376.594_0855.752V     0376.121_0855.419i   17:40:34.452   -53:36:17.79
  0376.625_0609.194V     0375.857_0609.229i   17:40:34.580   -53:38:20.24
  0376.672_0369.438V     0375.560_0368.991i   17:40:34.706   -53:40:19.32
  0376.767_0281.760V     0376.059_0281.663i   17:40:34.757   -53:41:02.86
  0376.899_0480.038V     0376.160_0480.002i   17:40:34.662   -53:39:24.39
