# ID_V                   ID_I                      RA             DEC
  0055.398_0973.867V     0054.821_0973.657i   17:40:16.475   -53:35:20.51
  0055.451_0861.133V     0054.816_0860.986i   17:40:16.529   -53:36:16.50
  0055.509_0270.135V     0054.733_0269.940i   17:40:16.801   -53:41:10.02
  0055.875_1090.385V     0055.472_1090.334i   17:40:16.448   -53:34:22.64
  0056.329_0771.843V     0055.807_0771.724i   17:40:16.619   -53:37:00.85
  0057.193_0222.157V     0056.399_0221.916i   17:40:16.918   -53:41:33.84
  0057.465_0282.643V     0056.870_0282.454i   17:40:16.905   -53:41:03.80
  0058.749_1041.635V     0058.178_1041.468i   17:40:16.631   -53:34:46.84
  0058.905_0567.009V     0059.176_0566.823i   17:40:16.856   -53:38:42.57
  0059.885_0989.982V     0059.329_0989.843i   17:40:16.718   -53:35:12.49
  0060.622_0078.746V     0060.168_0078.515i   17:40:17.175   -53:42:45.06
  0060.787_0143.183V     0060.122_0142.922i   17:40:17.155   -53:42:13.05
  0061.104_0280.149V     0060.583_0279.851i   17:40:17.110   -53:41:05.03
  0061.209_0130.791V     0060.536_0130.668i   17:40:17.184   -53:42:19.21
  0061.662_0173.492V     0061.058_0173.300i   17:40:17.190   -53:41:58.00
  0063.303_0345.489V     0062.487_0345.381i   17:40:17.203   -53:40:32.57
  0063.347_0608.677V     0063.710_0608.477i   17:40:17.085   -53:38:21.85
  0063.364_0314.387V     0062.725_0314.158i   17:40:17.220   -53:40:48.01
  0063.605_0711.551V     0062.968_0711.420i   17:40:17.052   -53:37:30.76
  0064.777_0906.474V     0064.181_0906.309i   17:40:17.029   -53:35:53.95
  0065.238_0949.607V     0064.664_0949.374i   17:40:17.035   -53:35:32.52
  0066.011_0548.852V     0066.291_0548.624i   17:40:17.261   -53:38:51.56
  0067.897_0107.706V     0067.280_0107.410i   17:40:17.569   -53:42:30.64
  0068.239_0264.039V     0067.721_0263.718i   17:40:17.516   -53:41:13.00
  0068.291_0663.481V     0068.558_0663.334i   17:40:17.336   -53:37:54.62
  0069.056_0326.794V     0068.292_0326.563i   17:40:17.533   -53:40:41.83
  0069.153_0080.435V     0068.625_0080.132i   17:40:17.651   -53:42:44.18
  0069.198_0536.516V     0069.592_0536.371i   17:40:17.445   -53:38:57.67
  0069.469_0750.102V     0068.820_0750.026i   17:40:17.362   -53:37:11.59
  0069.926_0517.128V     0069.259_0516.969i   17:40:17.494   -53:39:07.30
  0069.929_0617.937V     0070.275_0617.807i   17:40:17.448   -53:38:17.23
  0070.762_0303.631V     0070.084_0303.451i   17:40:17.639   -53:40:53.33
  0070.813_0027.112V     0070.083_0026.815i   17:40:17.769   -53:43:10.66
  0070.843_0956.478V     0070.230_0956.408i   17:40:17.344   -53:35:29.09
  0071.161_0461.899V     0070.525_0461.748i   17:40:17.589   -53:39:34.72
  0072.172_0506.856V     0071.456_0506.710i   17:40:17.624   -53:39:12.39
  0072.838_0594.982V     0073.340_0594.757i   17:40:17.621   -53:38:28.62
  0073.103_0063.602V     0072.557_0063.412i   17:40:17.880   -53:42:52.53
  0073.471_0244.703V     0072.737_0244.568i   17:40:17.817   -53:41:22.58
  0074.081_1123.045V     0073.573_1123.092i   17:40:17.449   -53:34:06.35
  0074.455_0483.284V     0073.721_0483.151i   17:40:17.763   -53:39:24.09
  0074.615_0328.710V     0073.960_0328.729i   17:40:17.843   -53:40:40.85
  0075.320_0070.680V     0074.770_0070.483i   17:40:18.001   -53:42:49.00
  0076.029_0079.992V     0075.373_0079.788i   17:40:18.036   -53:42:44.37
  0076.427_0164.324V     0075.828_0163.744i   17:40:18.020   -53:42:02.49
  0076.781_0684.893V     0076.145_0684.767i   17:40:17.800   -53:37:43.95
  0077.159_0831.912V     0076.186_0831.987i   17:40:17.754   -53:36:30.93
  0077.271_0534.831V     0077.620_0534.617i   17:40:17.896   -53:38:58.47
  0077.428_0090.531V     0076.770_0090.382i   17:40:18.110   -53:42:39.13
  0078.033_1118.145V     0077.410_1118.046i   17:40:17.671   -53:34:08.77
  0079.460_0618.887V     0079.879_0618.759i   17:40:17.980   -53:38:16.72
  0079.562_0921.478V     0078.977_0921.414i   17:40:17.847   -53:35:46.44
